ncbi_gene_id,gene_symbol,pathway_sources
8352,H3C3,R-HSA-1266695|Interleukin-7 signaling ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-3247509|Chromatin modifying enzymes ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-983231|Factors involved in megakaryocyte development and platelet production ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
8353,H3C6,R-HSA-1266695|Interleukin-7 signaling ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-3247509|Chromatin modifying enzymes ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-983231|Factors involved in megakaryocyte development and platelet production ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
8354,H3C11,R-HSA-1266695|Interleukin-7 signaling ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-3247509|Chromatin modifying enzymes ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-983231|Factors involved in megakaryocyte development and platelet production ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
8355,H3C8,R-HSA-1266695|Interleukin-7 signaling ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-3247509|Chromatin modifying enzymes ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-983231|Factors involved in megakaryocyte development and platelet production ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
8356,H3C12,R-HSA-1266695|Interleukin-7 signaling ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-3247509|Chromatin modifying enzymes ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-983231|Factors involved in megakaryocyte development and platelet production ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
8357,H3C10,R-HSA-1266695|Interleukin-7 signaling ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-3247509|Chromatin modifying enzymes ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-983231|Factors involved in megakaryocyte development and platelet production ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
8358,H3C2,R-HSA-1266695|Interleukin-7 signaling ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-3247509|Chromatin modifying enzymes ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-983231|Factors involved in megakaryocyte development and platelet production ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
8359,H4C1,R-HSA-110328|Recognition and association of DNA glycosylase with site containing an affected pyrimidine ; R-HSA-110329|Cleavage of the damaged pyrimidine ; R-HSA-110330|Recognition and association of DNA glycosylase with site containing an affected purine ; R-HSA-110331|Cleavage of the damaged purine ; R-HSA-1221632|Meiotic synapsis ; R-HSA-171306|Packaging Of Telomere Ends ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-2559586|DNA Damage/Telomere Stress Induced Senescence ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-4551638|SUMOylation of chromatin organization proteins ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-5693565|Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks ; R-HSA-5693571|Nonhomologous End-Joining (NHEJ) ; R-HSA-5693607|Processing of DNA double-strand break ends ; R-HSA-606279|Deposition of new CENPA-containing nucleosomes at the centromere ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-69473|G2/M DNA damage checkpoint ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9670095|Inhibition of DNA recombination at telomere ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-9821993|Replacement of protamines by nucleosomes in the male pronucleus ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
8360,H4C4,R-HSA-110328|Recognition and association of DNA glycosylase with site containing an affected pyrimidine ; R-HSA-110329|Cleavage of the damaged pyrimidine ; R-HSA-110330|Recognition and association of DNA glycosylase with site containing an affected purine ; R-HSA-110331|Cleavage of the damaged purine ; R-HSA-1221632|Meiotic synapsis ; R-HSA-171306|Packaging Of Telomere Ends ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-2559586|DNA Damage/Telomere Stress Induced Senescence ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-4551638|SUMOylation of chromatin organization proteins ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-5693565|Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks ; R-HSA-5693571|Nonhomologous End-Joining (NHEJ) ; R-HSA-5693607|Processing of DNA double-strand break ends ; R-HSA-606279|Deposition of new CENPA-containing nucleosomes at the centromere ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-69473|G2/M DNA damage checkpoint ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9670095|Inhibition of DNA recombination at telomere ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-9821993|Replacement of protamines by nucleosomes in the male pronucleus ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
8361,H4C6,R-HSA-110328|Recognition and association of DNA glycosylase with site containing an affected pyrimidine ; R-HSA-110329|Cleavage of the damaged pyrimidine ; R-HSA-110330|Recognition and association of DNA glycosylase with site containing an affected purine ; R-HSA-110331|Cleavage of the damaged purine ; R-HSA-1221632|Meiotic synapsis ; R-HSA-171306|Packaging Of Telomere Ends ; R-HSA-1912408|Pre-NOTCH Transcription and Translation ; R-HSA-201722|Formation of the beta-catenin:TCF transactivating complex ; R-HSA-212300|PRC2 methylates histones and DNA ; R-HSA-2299718|Condensation of Prophase Chromosomes ; R-HSA-2559580|Oxidative Stress Induced Senescence ; R-HSA-2559582|Senescence-Associated Secretory Phenotype (SASP) ; R-HSA-2559586|DNA Damage/Telomere Stress Induced Senescence ; R-HSA-3214815|HDACs deacetylate histones ; R-HSA-3214841|PKMTs methylate histone lysines ; R-HSA-3214842|HDMs demethylate histones ; R-HSA-3214847|HATs acetylate histones ; R-HSA-3214858|RMTs methylate histone arginines ; R-HSA-427359|SIRT1 negatively regulates rRNA expression ; R-HSA-427389|ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression ; R-HSA-427413|NoRC negatively regulates rRNA expression ; R-HSA-4551638|SUMOylation of chromatin organization proteins ; R-HSA-5250924|B-WICH complex positively regulates rRNA expression ; R-HSA-5334118|DNA methylation ; R-HSA-5578749|Transcriptional regulation by small RNAs ; R-HSA-5617472|Activation of anterior HOX genes in hindbrain development during early embryogenesis ; R-HSA-5625886|Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3 ; R-HSA-5693565|Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks ; R-HSA-5693571|Nonhomologous End-Joining (NHEJ) ; R-HSA-5693607|Processing of DNA double-strand break ends ; R-HSA-606279|Deposition of new CENPA-containing nucleosomes at the centromere ; R-HSA-68616|Assembly of the ORC complex at the origin of replication ; R-HSA-69473|G2/M DNA damage checkpoint ; R-HSA-73728|RNA Polymerase I Promoter Opening ; R-HSA-73772|RNA Polymerase I Promoter Escape ; R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function ; R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs ; R-HSA-9018519|Estrogen-dependent gene expression ; R-HSA-912446|Meiotic recombination ; R-HSA-9609690|HCMV Early Events ; R-HSA-9610379|HCMV Late Events ; R-HSA-9616222|Transcriptional regulation of granulopoiesis ; R-HSA-9670095|Inhibition of DNA recombination at telomere ; R-HSA-9710421|Defective pyroptosis ; R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription ; R-HSA-977225|Amyloid fiber formation ; R-HSA-9821002|Chromatin modifications during the maternal to zygotic transition (MZT) ; R-HSA-9821993|Replacement of protamines by nucleosomes in the male pronucleus ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis ; R-HSA-9843940|Regulation of endogenous retroelements by KRAB-ZFP proteins ; R-HSA-9843970|Regulation of endogenous retroelements by the Human Silencing Hub (HUSH) complex ; R-HSA-9845323|Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs) ; R-HSA-9909649|Regulation of PD-L1(CD274) transcription ; R-HSA-9918481|Dengue Virus-Host Interactions
