ncbi_gene_id,gene_symbol,pathway_sources
102,ADAM10,R-HSA-1442490|Collagen degradation ; R-HSA-1474228|Degradation of the extracellular matrix ; R-HSA-177929|Signaling by EGFR ; R-HSA-2122948|Activated NOTCH1 Transmits Signal to the Nucleus ; R-HSA-2644606|Constitutive Signaling by NOTCH1 PEST Domain Mutants ; R-HSA-2660826|Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant ; R-HSA-2691232|Constitutive Signaling by NOTCH1 HD Domain Mutants ; R-HSA-2894862|Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants ; R-HSA-2979096|NOTCH2 Activation and Transmission of Signal to the Nucleus ; R-HSA-381426|Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs) ; R-HSA-3928665|EPH-ephrin mediated repulsion of cells ; R-HSA-6798695|Neutrophil degranulation ; R-HSA-8957275|Post-translational protein phosphorylation ; R-HSA-9013507|NOTCH3 Activation and Transmission of Signal to the Nucleus ; R-HSA-9013700|NOTCH4 Activation and Transmission of Signal to the Nucleus ; R-HSA-977225|Amyloid fiber formation
103,ADAR,R-HSA-75102|C6 deamination of adenosine ; R-HSA-77042|Formation of editosomes by ADAR proteins ; R-HSA-909733|Interferon alpha/beta signaling ; R-HSA-9833482|PKR-mediated signaling
104,ADARB1,R-HSA-75102|C6 deamination of adenosine ; R-HSA-77042|Formation of editosomes by ADAR proteins
107,ADCY1,R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-163615|PKA activation ; R-HSA-164378|PKA activation in glucagon signalling ; R-HSA-170660|Adenylate cyclase activating pathway ; R-HSA-170670|Adenylate cyclase inhibitory pathway ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-442720|CREB1 phosphorylation through the activation of Adenylate Cyclase ; R-HSA-5610787|Hedgehog 'off' state ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9664323|FCGR3A-mediated IL10 synthesis ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
108,ADCY2,R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-163615|PKA activation ; R-HSA-164378|PKA activation in glucagon signalling ; R-HSA-170660|Adenylate cyclase activating pathway ; R-HSA-170670|Adenylate cyclase inhibitory pathway ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-5610787|Hedgehog 'off' state ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9664323|FCGR3A-mediated IL10 synthesis ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
109,ADCY3,R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-163615|PKA activation ; R-HSA-164378|PKA activation in glucagon signalling ; R-HSA-170660|Adenylate cyclase activating pathway ; R-HSA-170670|Adenylate cyclase inhibitory pathway ; R-HSA-381753|Olfactory Signaling Pathway ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-5610787|Hedgehog 'off' state ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9664323|FCGR3A-mediated IL10 synthesis ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
111,ADCY5,"R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-163615|PKA activation ; R-HSA-164378|PKA activation in glucagon signalling ; R-HSA-170660|Adenylate cyclase activating pathway ; R-HSA-170670|Adenylate cyclase inhibitory pathway ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-5610787|Hedgehog 'off' state ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9664323|FCGR3A-mediated IL10 synthesis ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells"
112,ADCY6,"R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-163615|PKA activation ; R-HSA-164378|PKA activation in glucagon signalling ; R-HSA-170660|Adenylate cyclase activating pathway ; R-HSA-170670|Adenylate cyclase inhibitory pathway ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-5610787|Hedgehog 'off' state ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9664323|FCGR3A-mediated IL10 synthesis ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells"
113,ADCY7,R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-163615|PKA activation ; R-HSA-164378|PKA activation in glucagon signalling ; R-HSA-170660|Adenylate cyclase activating pathway ; R-HSA-170670|Adenylate cyclase inhibitory pathway ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-5610787|Hedgehog 'off' state ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9664323|FCGR3A-mediated IL10 synthesis ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
114,ADCY8,R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-163615|PKA activation ; R-HSA-164378|PKA activation in glucagon signalling ; R-HSA-170660|Adenylate cyclase activating pathway ; R-HSA-170670|Adenylate cyclase inhibitory pathway ; R-HSA-381676|Glucagon-like Peptide-1 (GLP1) regulates insulin secretion ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-442720|CREB1 phosphorylation through the activation of Adenylate Cyclase ; R-HSA-5610787|Hedgehog 'off' state ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9664323|FCGR3A-mediated IL10 synthesis ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
115,ADCY9,R-HSA-163359|Glucagon signaling in metabolic regulation ; R-HSA-163615|PKA activation ; R-HSA-164378|PKA activation in glucagon signalling ; R-HSA-170660|Adenylate cyclase activating pathway ; R-HSA-170670|Adenylate cyclase inhibitory pathway ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-432040|Vasopressin regulates renal water homeostasis via Aquaporins ; R-HSA-5610787|Hedgehog 'off' state ; R-HSA-9634597|GPER1 signaling ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production ; R-HSA-9664323|FCGR3A-mediated IL10 synthesis ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
116,ADCYAP1,R-HSA-187024|NGF-independant TRKA activation ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-420092|Glucagon-type ligand receptors
117,ADCYAP1R1,R-HSA-187024|NGF-independant TRKA activation ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-420092|Glucagon-type ligand receptors
119,ADD2,R-HSA-5223345|Miscellaneous transport and binding events
120,ADD3,R-HSA-5223345|Miscellaneous transport and binding events ; R-HSA-9013405|RHOD GTPase cycle ; R-HSA-9035034|RHOF GTPase cycle
123,PLIN2,R-HSA-1989781|PPARA activates gene expression ; R-HSA-9613354|Lipophagy ; R-HSA-9613829|Chaperone Mediated Autophagy ; R-HSA-9615710|Late endosomal microautophagy ; R-HSA-9841922|MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
124,ADH1A,R-HSA-2161541|Abacavir metabolism ; R-HSA-5365859|RA biosynthesis pathway ; R-HSA-71384|Ethanol oxidation
125,ADH1B,R-HSA-71384|Ethanol oxidation
126,ADH1C,R-HSA-5365859|RA biosynthesis pathway ; R-HSA-71384|Ethanol oxidation
127,ADH4,R-HSA-5365859|RA biosynthesis pathway ; R-HSA-71384|Ethanol oxidation
128,ADH5,R-HSA-71384|Ethanol oxidation
130,ADH6,R-HSA-71384|Ethanol oxidation
131,ADH7,R-HSA-71384|Ethanol oxidation
132,ADK,R-HSA-74217|Purine salvage ; R-HSA-9755088|Ribavirin ADME
133,ADM,R-HSA-418555|G alpha (s) signalling events ; R-HSA-419812|Calcitonin-like ligand receptors ; R-HSA-9856530|High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
134,ADORA1,R-HSA-417973|Adenosine P1 receptors ; R-HSA-418594|G alpha (i) signalling events
135,ADORA2A,R-HSA-187024|NGF-independant TRKA activation ; R-HSA-417973|Adenosine P1 receptors ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-5683826|Surfactant metabolism
136,ADORA2B,R-HSA-417973|Adenosine P1 receptors ; R-HSA-418555|G alpha (s) signalling events ; R-HSA-5683826|Surfactant metabolism ; R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
140,ADORA3,R-HSA-417973|Adenosine P1 receptors ; R-HSA-418594|G alpha (i) signalling events
142,PARP1,R-HSA-110362|POLB-Dependent Long Patch Base Excision Repair ; R-HSA-192814|vRNA Synthesis ; R-HSA-2173795|Downregulation of SMAD2/3:SMAD4 transcriptional activity ; R-HSA-3108214|SUMOylation of DNA damage response and repair proteins ; R-HSA-5685939|HDR through MMEJ (alt-NHEJ) ; R-HSA-5696394|DNA Damage Recognition in GG-NER ; R-HSA-5696395|Formation of Incision Complex in GG-NER ; R-HSA-5696400|Dual Incision in GG-NER
143,PARP4,R-HSA-196807|Nicotinate metabolism ; R-HSA-9683610|Maturation of nucleoprotein ; R-HSA-9694631|Maturation of nucleoprotein
146,ADRA1D,R-HSA-390696|Adrenoceptors ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events
147,ADRA1B,R-HSA-390696|Adrenoceptors ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events
148,ADRA1A,R-HSA-390696|Adrenoceptors ; R-HSA-416476|G alpha (q) signalling events ; R-HSA-416482|G alpha (12/13) signalling events
150,ADRA2A,"R-HSA-390696|Adrenoceptors ; R-HSA-392023|Adrenaline signalling through Alpha-2 adrenergic receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-5683826|Surfactant metabolism"
151,ADRA2B,R-HSA-390696|Adrenoceptors ; R-HSA-392023|Adrenaline signalling through Alpha-2 adrenergic receptor ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events
152,ADRA2C,"R-HSA-390696|Adrenoceptors ; R-HSA-392023|Adrenaline signalling through Alpha-2 adrenergic receptor ; R-HSA-400042|Adrenaline,noradrenaline inhibits insulin secretion ; R-HSA-418594|G alpha (i) signalling events ; R-HSA-418597|G alpha (z) signalling events ; R-HSA-5683826|Surfactant metabolism"
153,ADRB1,R-HSA-390696|Adrenoceptors ; R-HSA-418555|G alpha (s) signalling events
